names,price,description
Kamna Hill Resort,3688,"Set in Shimla, this 4 star accommodation is one of the top Hotel in Shimla. Located in Summer Hill location this Shimla Hotel is rated 4.7/5 by 313 guest. This Shimla Hotel offers Ironing Service, Free Parking and Lawn. 94% of guest like the Safety and Hygiene of this Shimla Hotel. Viceregal Lodge is very near to this Shimla Hotel. Shimla Airport is the nearest transit points to travel from the hotel. This hotel in Shimla is couple friendly hotel."
WoodVista Cottages,10018,Hassle Free Check-in
The Manor Service Apartments,7509,Hassle Free Check-in
Belvilla Serene Mountain Getaway with Exquisite Views,7042,"This Shimla Villa is located in Chotta Shimla locality Rated 5.0/5 by 1 guest, this is an ultimate Villa in Shimla. Shimla Airport is the nearest transit points to travel from the hotel. This Oyo Rooms is highly recommended in this locality. This is a popular couple friendly hotel in Shimla."
Kalawati Homes Vacation Rentals,9000,"Set in Shimla, this accommodation is one of the top Villa in Shimla. Located in Lakkar Bazaar location this Shimla Villa is rated 1.3/5 by 1 guest. This Shimla Villa offers Ironing Service, Laundry Service and Free Parking. Lakkar Bazaar is very near to this Shimla Villa. Shimla Airport is the nearest transit points to travel from the hotel. This hotel in Shimla is couple friendly hotel."
"Royal Tulip Shimla, Kufri",6583,"This Kufri Hotel is located in Kufri locality Rated 4.4/5 by 484 guest, this is an ultimate Hotel in Kufri. Location, Service Quality and Safety & Hygiene are the big factor of this Kufri Hotel. In terms of amenities, 77% guests like the Gym, Parking and Television of this Kufri Hotel. 77% of guest said that the Safety and Hygiene of this Kufri Hotel is good. This AM Hotel Kollection is highly recommended in this locality. This is a popular couple friendly hotel in Kufri."
Green Caravan Camps,2133,Near Shimla Airport
Hotel Willow Banks,7452,"This Shimla Hotel is located in Mall Road locality Rated 4.0/5 by 886 guest, this is an ultimate Hotel in Shimla. Food, Location and Amenities are the big factor of this Shimla Hotel. In terms of amenities, 83% guests like the Television, Restaurant and WiFi of this Shimla Hotel. 57% of guest said that the Safety and Hygiene of this Shimla Hotel is good. Shimla Airport is the nearest transit points to travel from the hotel. This is a popular couple friendly hotel in Shimla."
Hotel Sangeet,1920,"Set in Shimla, this 3 star accommodation is one of the top Hotel in Shimla. Located in Mall Road location this Shimla Hotel is rated 3.9/5 by 339 guest. This Shimla Hotel offers Laundry Service, Ironing Service and Wake-up Call. 58% of guest like the Safety and Hygiene of this Shimla Hotel. Lift is very near to this Shimla Hotel. Shimla Airport is the nearest transit points to travel from the hotel. This hotel in Shimla is couple friendly hotel."
Goldenfern Resort Shimla,4410,"This Shimla Resort is located in Kachi Ghatti locality Rated 4.6/5 by 121 guest, this is an ultimate Resort in Shimla. Shimla Airport is the nearest transit points to travel from the hotel. This is a popular couple friendly hotel in Shimla."
Kufri Pacific Resort,4190,"Set in Kufri, this 4 star accommodation is one of the top Resort in Kufri. Located in Kufri - Chail Road location this Kufri Resort is rated 4.2/5 by 308 guest. This Kufri Resort offers Laundry Service, Ironing Service and Gym. 78% of guest like the Safety and Hygiene of this Kufri Resort. This hotel in Kufri is couple friendly hotel."
Hotel Dhroov,4706,"This Shimla Hotel is located in Lakkar Bazaar locality Rated 4.5/5 by 474 guest, this is an ultimate Hotel in Shimla. Safety & Hygiene, Location and Service Quality are the big factor of this Shimla Hotel. In terms of amenities, 83% guests like the Television, Parking and Restaurant of this Shimla Hotel. 100% of guest said that the Safety and Hygiene of this Shimla Hotel is good. Shimla Airport is the nearest transit points to travel from the hotel. This is a popular couple friendly hotel in Shimla."
The Cedar Grand Hotel and Spa,7270,"Set in Shimla, this 4 star accommodation is one of the top Hotel in Shimla. Located in Mall Road location this Shimla Hotel is rated 4.3/5 by 1030 guest. This Shimla Hotel offers Laundry Service, Ironing Service and Gym. 79% of guest like the Safety and Hygiene of this Shimla Hotel. Victory Tunnel is very near to this Shimla Hotel. Shimla Airport is the nearest transit points to travel from the hotel. This hotel in Shimla is couple friendly hotel."
